Full Name,Fighter_Id,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Renan Barao,2c99576fefe53c7c,The Baron,5.6,145.0,70.0,Orthodox,34,9,0,False
Junior Barata,06dced58ca24a6bd,No Nickname,5.1,170.0,,Orthodox,9,3,1,False
Maycee Barber,6a740daf1b279661,The Future,5.5,125.0,65.0,Switch,14,2,0,False
Bryan Barberena,a331233f597090a5,Bam Bam,6.0,185.0,72.0,Southpaw,18,12,0,False
Djani Barbir,d4baaa0630bf5798,No Nickname,6.3,185.0,79.0,Orthodox,7,1,0,False
Dione Barbosa,27b388f0aab49780,The Witch,5.6,125.0,66.0,Orthodox,8,4,0,False
Marcio Barbosa,c85bad793cd14e28,Ticoto,5.6,145.0,70.0,Orthodox,17,2,0,False
Edson Barboza,64a50dad704d1d49,Junior,5.11,155.0,75.0,Orthodox,24,13,0,False
Raoni Barcelos,b9f28e7045fdfce7,No Nickname,5.7,135.0,67.0,Orthodox,20,5,0,False
Daniel Barez,e8fe9c15d348e778,No Nickname,5.6,125.0,66.0,Orthodox,17,7,0,False
