Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Avg Rounds,Avg Fight Time,KD,STR,TD,SUB,Ctrl,Sig. Str. %,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,Sub. Att,Rev.,Weight_Class,Gender,Fighting Style
0f1efce7d2571d10,Nikolay Veretennikov,No Nickname,6.1,170.0,Orthodox,13,7,0,False,2.75,813.25,0.0,36.25,1.25,1.0,227.0,0.66,0.68,0.73,1.0,0.53,0.7,0.66,1.0,0.0,Welterweight,Male,Striker
077e3ace32b72be9,CJ Vergara,No Nickname,5.6,125.0,Orthodox,12,7,1,False,2.25,627.88,0.38,55.5,1.5,0.25,125.88,0.52,0.45,0.62,0.9,0.48,0.54,0.51,0.25,0.38,Flyweight,Male,Striker
c24b1db4b809d41b,Renato Verissimo,Charuto,6.1,170.0,Orthodox,7,5,0,False,2.67,743.67,0.0,11.0,1.0,2.33,211.33,0.44,0.4,0.56,0.33,0.22,0.75,0.48,2.33,0.67,Welterweight,Male,Wrestler
7acbb0972e75281a,Marvin Vettori,The Italian Dream,6.0,185.0,Southpaw,19,10,1,False,3.44,1029.28,0.0,79.94,1.78,0.22,162.94,0.41,0.34,0.73,0.75,0.38,0.61,0.32,0.22,0.0,Middleweight,Male,Striker
f95381efb3051d81,Hugo Viana,Wolverine,5.6,135.0,Orthodox,8,4,0,False,2.33,672.83,0.0,34.17,1.5,0.0,146.33,0.41,0.32,0.68,0.84,0.32,0.66,0.21,0.0,0.0,Bantamweight,Male,Striker
9673a497a9da119a,Polyana Viana,Dama de Ferro,5.5,115.0,Orthodox,13,8,0,False,1.82,434.55,0.18,17.55,0.82,0.64,143.27,0.4,0.25,0.6,0.59,0.36,0.26,0.49,0.64,0.0,Women's Strawweight,Female,Hybrid
6256b2b1562cb8e1,James Vick,The Texecutioner,6.3,155.0,Orthodox,13,5,0,False,1.93,489.86,0.36,29.0,0.57,0.0,54.71,0.34,0.29,0.47,0.61,0.32,0.36,0.3,0.0,0.14,Lightweight,Male,Hybrid
4f3064faf17aa711,Tamires Vidal,Tractor,5.6,135.0,Orthodox,7,4,0,False,2.5,649.0,0.25,37.5,1.25,0.25,230.0,0.5,0.36,0.73,0.8,0.47,0.61,0.36,0.25,0.0,Women's Bantamweight,Female,Striker
7cf20446453f852b,Milton Vieira,Miltinho,6.0,145.0,Orthodox,13,8,2,False,3.0,900.0,0.0,23.5,3.0,0.0,278.5,0.44,0.3,0.86,0.88,0.4,0.66,0.58,0.0,0.0,Featherweight,Male,Striker
f9081770e28ea2e1,Reginaldo Vieira,No Nickname,5.7,135.0,Orthodox,13,5,0,False,2.67,761.33,0.0,47.67,1.67,0.67,185.33,0.41,0.31,0.74,0.71,0.34,0.68,0.82,0.67,0.0,Bantamweight,Male,Striker
b9706f80d005036c,Ketlen Vieira,Fenomeno,5.8,135.0,Orthodox,15,5,0,False,3.07,917.64,0.07,56.5,0.57,0.21,234.07,0.5,0.38,0.79,0.79,0.41,0.76,0.42,0.21,0.0,Women's Featherweight,Female,Striker
260e9e0d4954aea6,Rodolfo Vieira,No Nickname,6.0,185.0,Orthodox,11,4,0,False,2.3,599.1,0.0,37.4,1.3,0.8,146.8,0.54,0.49,0.6,0.63,0.42,0.51,0.26,0.8,0.1,Middleweight,Male,Striker
6888e31ce88f5b17,Steve Vigneault,Lionheart,5.1,185.0,Orthodox,12,6,0,False,1.0,129.0,0.0,6.0,0.0,0.0,13.0,0.46,0.14,0.5,1.0,0.14,0.83,0.0,0.0,0.0,Middleweight,Male,Hybrid
fcd448a2fe1a23cc,Gian Villante,No Nickname,6.3,230.0,Orthodox,17,14,0,False,2.56,670.56,0.28,57.0,0.33,0.06,41.28,0.45,0.38,0.66,0.8,0.44,0.5,0.21,0.06,0.0,Light Heavyweight,Male,Hybrid
f9d0cae37dabfafc,Ike Villanueva,Hurricane,6.1,205.0,Orthodox,18,14,0,False,1.5,251.33,0.33,16.67,0.17,0.0,3.33,0.44,0.4,0.9,0.25,0.45,0.24,0.24,0.0,0.0,Light Heavyweight,Male,Hybrid
